Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Oral Pills (contraception) ,Injectables,IUDs  (contraception) ,Implants (contraception)  ,Female Sterilization (contraception) ,Male Sterilization (contraception) ,Male Medical Circumcision (MMC),TB ,Maternal Health,Mental Health,  Oral health services ,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing ,HIV Treatment (ART) ,Oral PrEP ,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,AYFS Accredited,CCMDD Pick Up Point,Physical Address
Eerste River Hospital,18.71907,-33.9972,Urban,District Hospital,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Blue Downs Clinic,18.68582,-33.9776,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Cutie Pie Clinic,18.847018,-34.081522,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Helderberg Hospital,18.856761,-34.0768,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Driftsands Satellite Clinic,18.69639,-34.0266,Urban,Satellite Clinic,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Dr Ivan Toms Clinic,18.672228,-33.9918,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,,Not Registered,
Eastern (Sub-district) Mobile 1,18.421578,-33.916976,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Eerste River Clinic,18.72663,-34.0039,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Fagan Street Clinic,18.82979,-34.1162,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Gordon's Bay Clinic,18.87944,-34.1532,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Kuilsriver Clinic,18.68099,-33.9254,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Living Hope Mfuleni Mobile 1,18.468303,-33.935729,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Macassar Mobile 1,18.74944,-34.0669,Urban,Mobile Service,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Masincedane Somerset West Mobile 1,18.57834,-33.9851,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Sarepta Clinic,18.67248,-33.932,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Sir Lowry's Pass CDC,18.90741,-34.1205,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Somerset West Clinic,18.84815,-34.0857,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Wesbank Clinic,18.66197,-33.9711,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bloekombos Clinic,18.7508,-33.8472,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kraaifontein CHC,18.72149,-33.8529,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bothasig Clinic,18.53667,-33.8564,Urban,Clinic,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,,Not Registered,
Brackenfell Clinic,18.68813,-33.8766,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Brighton Clinic,18.70589,-33.8417,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Durbanville Clinic,18.65422,-33.8301,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Fisantekraal Clinic,18.71792,-33.7821,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Harmonie Clinic,18.71209,-33.851,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kraaifontein Men's Satellite Clinic,18.721,-33.853,Urban,Satellite Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Kraaifontein Youth Satellite Clinic,18.721,-33.853,Urban,Satellite Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Northpine Clinic,18.71079,-33.8709,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Scottsdene Clinic,18.72222,-33.8661,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Wallacedene Clinic,18.73325,-33.8597,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
False Bay Hospital,18.416805,-34.1319,Urban,District Hospital,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Alphen Clinic,22.092,-34.18,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Cape Centre for Children Families and Refugees in Distress Health Post,18.468607,-34.058777,Urban,Health Post,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Desmond Tutu HIV Foundation Youth Centre,18.465492,-33.941683,Urban,Health Post,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Diep River Clinic,18.4669,-34.0345,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
DP Marais TB Hospital,18.46033,-34.0619,Urban,Specialised TB Hospital,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Fish Hoek Clinic,18.42745,-34.1373,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Hout Bay Main Road Clinic,18.35729,-34.0295,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Klip Road Clinic,18.50307,-34.0354,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Lavender Hill Clinic,18.48618,-34.0684,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Life Sports Science Orthopaedic Surgical Day Centre,18.467425,-33.9713,Urban,Specialised Orthopaedic Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Masiphumelele Clinic,18.37842,-34.129,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mowbray Maternity Hospital,18.47489,-33.949,Urban,Regional Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Muizenberg Clinic,18.46956,-34.1069,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Parkwood Clinic,18.49306,-34.0323,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
SAMHS 2 Military Hospital,18.453257,-34.0045,Urban,Military Hospital,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Pelican Park Satellite Clinic,18.52311,-34.0493,Urban,Satellite Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Philippi Clinic,18.53937,-34.0001,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Red Cross War Memorial Children's Hospital,18.48707,-33.9531,Urban,Provincial Tertiary Hospital,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,,Not Registered,
Redhill Mobile 1,18.40937,-34.1949,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Retreat CHC,18.48041,-34.0577,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Seawind Clinic,18.49025,-34.075,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Simon's Town Satellite Clinic,18.43276,-34.1929,Urban,Satellite Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Strandfontein Clinic,18.55542,-34.0728,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Westlake Clinic,18.43654,-34.0809,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Wynberg Clinic,18.47006,-34.0046,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Albow Gardens Clinic,18.49092,-33.8978,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,#N/A,No,Yes,#N/A,Yes,Yes,No,No,No,,Not Registered,
Albow Gardens Mobile 1,18.49092,-33.8978,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Alexandra Hospital,18.48448,-33.93,Urban,Specialised Psychiatric Hospital,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Groote Schuur Hospital,18.465164,-33.9408,Urban,National Central Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Brooklyn Chest Hospital,18.4853,-33.8999,Urban,Specialised TB Hospital,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Chapel Street Clinic,18.43993,-33.9288,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
City Employee Wellness Programme Health Post,18.505448,-33.829171,Urban,Health Post,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Factreton Clinic,18.51103,-33.9089,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Langa Clinic,18.52588,-33.9441,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
New Somerset Hospital,18.41683,-33.9044,Urban,Regional Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Life Orthopaedic Hospital,18.489836,-33.9442,Urban,Specialised Orthopaedic Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,Not Registered,
Maitland Clinic,18.48875,-33.9222,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Melkbosstrand Clinic,18.4485,-33.7166,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Melkbosstrand Mobile 1,18.445458,-33.7175,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Pella Satellite Clinic,18.52055,-33.5397,Urban,Satellite Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Pinelands Satellite Clinic,18.49556,-33.9366,Urban,Satellite Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Protea Park Clinic,18.49171,-33.5723,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Saxon Sea Clinic,18.48881,-33.5501,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Schotscheskloof Satellite Clinic,18.41323,-33.9199,Urban,Satellite Clinic,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Senior Flexonics Clinic,18.522832,-33.929088,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Vanguard CHC,18.543569,-33.9477,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Wesfleur Hospital,18.49541,-33.5643,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,Not Registered,
Spencer Road Clinic,18.46485,-33.9286,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Table View Clinic,18.51359,-33.8329,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Khayelitsha Hospital,18.673936,-34.0499,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,Not Registered,
TB/HIV Care Key Population Mobile 1,18.424464,-33.919881,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,,Not Registered,
Valkenberg Hospital,18.48024,-33.9373,Urban,Specialised Psychiatric Hospital,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Witsand Mobile 1,18.445458,-33.7175,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Wolwerivier Mobile 1,22.76263,-33.983714,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Khayelitsha (Site B) CHC,18.66539,-34.0287,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Khayelitsha (Sub-district) Mobile 1,18.674944,-34.0471,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Kuyasa Male Clinic,18.65,-34.05,Urban,Clinic,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Site C Youth Clinic,18.64979,-34.0158,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Male (Site B) Clinic,18.665,-34.028,Urban,Clinic,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Mayenzeke Clinic,18.70214,-34.0521,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Guguletu CHC,18.57238,-33.9891,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Nolungile Clinic,18.64979,-34.0158,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,,Not Registered,
Hanover Park CHC,18.52644,-33.9946,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Site B Youth Clinic,18.66538,-34.0256,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Zakhele Clinic,18.65932,-34.0413,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
GF Jooste Hospital,18.557927,-33.9846,Urban,District Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Guguletu Clinic,18.56582,-33.9873,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Hanover Park Clinic,18.5275,-33.9938,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Hazendal Satellite Clinic,18.50637,-33.9571,Urban,Satellite Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Heideveld Clinic,18.55143,-33.968,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Honeyside Satellite Clinic,18.51474,-33.9799,Urban,Satellite Clinic,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Lansdowne Clinic,18.5052,-33.9916,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Manenberg Clinic,18.55522,-33.9883,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Newfields Satellite Clinic,18.52972,-33.9854,Urban,Satellite Clinic,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Nyanga Clinic,18.58334,-33.9916,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Ruimte Road Satellite Clinic,18.547273,-33.9804,Urban,Satellite Clinic,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Vuyani Clinic,18.56937,-33.9731,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Crossroads 1 Clinic,18.61015,-33.9952,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Eastridge Clinic,18.62222,-34.0466,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Lentegeur Clinic,18.60943,-34.0343,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Mitchells Plain CHC,18.62222,-34.0466,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mitchells Plain Hospital,18.61584,-34.0266,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Lentegeur Hospital,18.61771,-34.0248,Urban,Specialised Psychiatric Hospital,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,,Not Registered,
Mandalay Satellite Clinic,18.62515,-34.0165,Urban,Satellite Clinic,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Mitchells Plain Outreach Health Post,18.62222,-34.0466,Urban,Health Post,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Mzamomhle Clinic,18.59078,-34.0095,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Phumlani Clinic,18.60716,-34.0097,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Weltevreden Valley Clinic,18.58385,-34.0169,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Westridge Clinic,18.60342,-34.0515,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Adriaanse Clinic,18.58464,-33.938,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Chestnut Satellite Clinic,18.62064,-33.9488,Urban,Satellite Clinic,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Delft CHC,18.64577,-33.9642,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Delft South Clinic,18.633564,-33.9917,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Dirkie Uys Clinic,18.55041,-33.9106,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Elsies River CHC,18.57709,-33.9316,Urban,Community Health Centre,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Karl Bremer Hospital,18.610085,-33.8926,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Elsies River Clinic,18.57517,-33.9297,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,Not Registered,
Kasselsvlei Clinic,18.64389,-33.9152,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,,Not Registered,
Leonsdale Satellite Clinic,18.57547,-33.9193,Urban,Satellite Clinic,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Men's Health Satellite Clinic,18.606401,-33.907482,Urban,Satellite Clinic,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Netreg Clinic,18.56034,-33.9486,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Parow Clinic,18.58726,-33.9053,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Ravensmead Clinic,18.59773,-33.9246,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Stikland Hospital,18.65498,-33.8908,Urban,Specialised Psychiatric Hospital,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Tygerberg Hospital,18.611569,-33.9147,Urban,National Central Hospital,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
St Vincent Clinic,18.64867,-33.9454,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Uitsig Clinic,18.59841,-33.9357,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Valhalla Park Clinic,18.5705,-33.9534,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Crags Clinic,23.49194,-33.9511,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kranshoek Clinic,23.29694,-34.0877,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
New Horizon Clinic,23.3425,-34.0527,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Plettenberg Bay Clinic,23.36722,-34.0552,Urban,Clinic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
